mata_tin,mata_txpr_sex_cd,mate_mdf_yn,mate_srcs_cntn,mem_rit_cd,rit_end_dt,rit_strt_dt,suta_tin,suta_txpr_sex_cd
153601000000 ,3,Y,대법원가족관계,2,99991231 ,20190107 ,153403000000 ,2 
154102000000 ,3,Y,대법원가족관계,1,99991231 ,20190107 ,153460000000 ,1 
153500000000 ,3,Y,대법원가족관계,2,99991231 ,20190107 ,154202000000 ,2 
155000000000 ,3,Y,대법원가족관계,2,99991231 ,20190107 ,154302000000 ,2 
153500000000 ,3,Y,대법원가족관계,2,99991231 ,20190107 ,153603000000 ,2 
100026000000 ,3,Y,대법원가족관계,1,99991231 ,20190107 ,153103000000 ,1 
153500000000 ,3,Y,대법원가족관계,2,99991231 ,20190107 ,154302000000 ,2 
153500000000 ,3,Y,대법원가족관계,2,99991231 ,20190107 ,153202000000 ,2 
153500000000 ,3,Y,대법원가족관계,2,99991231 ,20190107 ,153302000000 ,2 
153500000000 ,3,Y,대법원가족관계,2,99991231 ,20190107 ,154802000000 ,2 
