mata_tin,mate_srcs_cntn,rit_end_dt,rit_strt_dt,suta_tin,txpr_rlt_cd
153101000000 ,吵技磊包拌,99991231,10101,153403000000 ,22
153101000000 ,吵技磊包拌,99991231,10101,154201000000 ,22
153101000000 ,吵技磊包拌,99991231,10101,154601000000 ,30
153101000000 ,吵技磊包拌,99991231,10101,154702000000 ,22
153101000000 ,吵技磊包拌,99991231,10101,153403000000 ,32
153101000000 ,吵技磊包拌,20161113,20160523,153201000000 ,30
153101000000 ,吵技磊包拌,99991231,10101,153501000000 ,22
153101000000 ,吵技磊包拌,99991231,10101,153101000000 ,32
153101000000 ,吵技磊包拌,99991231,10101,153901000000 ,32
153101000000 ,吵技磊包拌,20180926,20170802,154401000000 ,30
